Elapsed Time,Voltage,Adjusted SoC
14840.579,3.73471,35.190065
14850.579,3.73438,35.051172
14860.579,3.73406,34.912276
14870.579,3.73374,34.77475
14880.579,3.73374,34.634464
14890.579,3.73341,34.496952
14900.579,3.73309,34.356705
14910.579,3.73277,34.21782
14920.579,3.73244,34.078939
14930.579,3.73244,33.94005
14940.579,3.73212,33.802547
14950.579,3.73179,33.662296
14960.579,3.73179,33.524808
14970.579,3.73147,33.385919
14980.579,3.73115,33.247029
14990.579,3.73082,33.108105
15000.579,3.7305,32.967827
15010.579,3.73018,32.830313
15020.579,3.72985,32.690032
15030.579,3.72985,32.552535
15040.579,3.72953,32.413652
15050.579,3.72953,32.274776
15060.579,3.72921,32.13585
15070.579,3.72888,31.996961
15080.579,3.72856,31.858063
15090.579,3.72856,31.719204
15100.579,3.72824,31.580272
15110.579,3.72791,31.441357
15120.579,3.72759,31.302477
15130.579,3.72759,31.163574
15140.579,3.72727,31.024709
15150.579,3.72694,30.885819
15160.579,3.72662,30.746929
15170.579,3.72662,30.608015
15180.579,3.72597,30.469104
15190.579,3.72597,30.330221
15200.579,3.72565,30.191323
15210.579,3.72533,30.052438
15220.579,3.72533,29.91351
15230.579,3.725,29.774638
15240.579,3.72468,29.635742
15250.579,3.72403,29.496846
15260.579,3.72403,29.357973
15270.579,3.72371,29.219083
15280.579,3.72339,29.080194
15290.579,3.72306,28.941289
15300.579,3.72274,28.802387
15310.579,3.72241,28.663486
15320.579,3.72209,28.5246
15330.579,3.72209,28.385701
15340.579,3.72144,28.246816
15350.579,3.72112,28.107928
15360.579,3.72112,27.969037
15370.579,3.72047,27.83015
15380.579,3.72015,27.691274
15390.579,3.72015,27.552366
15400.579,3.7195,27.413476
15410.579,3.71918,27.274572
15420.579,3.71886,27.135706
15430.579,3.71853,26.996826
15440.579,3.71821,26.857938
15450.579,3.71821,26.719056
15460.579,3.71756,26.580172
15470.579,3.71692,26.441303
15480.579,3.71692,26.302418
15490.579,3.71627,26.163529
15500.579,3.71595,26.02462
15510.579,3.71562,25.885735
15520.579,3.7153,25.746831
15530.579,3.71465,25.607952
15540.579,3.71433,25.469056
15550.579,3.71401,25.330154
15560.579,3.71368,25.191257
15570.579,3.71304,25.052357
15580.579,3.71271,24.913463
15590.579,3.71239,24.774571
15600.579,3.71174,24.635645
15610.579,3.71142,24.496739
15620.579,3.71109,24.357853
15630.579,3.71045,24.218966
15640.579,3.71012,24.080052
15650.579,3.7098,23.941162
15660.579,3.70883,23.802267
15670.579,3.70883,23.663387
15680.579,3.70818,23.524516
15690.579,3.70754,23.38561
15700.579,3.70721,23.246725
15710.579,3.70689,23.107829
15720.579,3.70624,22.968955
15730.579,3.7056,22.830066
15740.579,3.70527,22.691184
15750.579,3.70463,22.552315
15760.579,3.7043,22.413406
15770.579,3.70366,22.274508
15780.579,3.70301,22.1356
15790.579,3.70236,21.996714
15800.579,3.70204,21.857805
15810.579,3.70139,21.718919
15820.579,3.70075,21.580026
15830.579,3.70042,21.441127
15840.579,3.69977,21.302239
15850.579,3.69945,21.163364
15860.579,3.69913,21.024503
15870.579,3.69848,20.885612
15880.579,3.69783,20.746723
15890.579,3.69719,20.607832
15900.579,3.69654,20.468931
15910.579,3.69622,20.330071
15920.579,3.69557,20.191189
15930.579,3.69492,20.052307
15940.579,3.69428,19.913415
15950.579,3.69363,19.774515
15960.579,3.69331,19.635621
15970.579,3.69266,19.496737
15980.579,3.69201,19.357848
15990.579,3.69137,19.218949
16000.579,3.69072,19.080059
16010.579,3.69007,18.941151
16020.579,3.68975,18.802268
16030.579,3.68878,18.663395
16040.579,3.68813,18.524487
16050.579,3.68748,18.385587
16060.579,3.68684,18.246692
16070.579,3.68619,18.107824
16080.579,3.68554,17.968916
16090.579,3.6849,17.830048
16100.579,3.68425,17.691157
16110.579,3.68328,17.552277
16120.579,3.68263,17.413393
16130.579,3.68199,17.274476
16140.579,3.68102,17.135607
16150.579,3.68037,16.996718
16160.579,3.6794,16.85781
16170.579,3.67875,16.718927
16180.579,3.67778,16.580038
16190.579,3.67713,16.441178
16200.579,3.67616,16.302278
16210.579,3.67552,16.163375
16220.579,3.67455,16.024486
16230.579,3.67358,15.885604
16240.579,3.67325,15.746713
16250.579,3.67261,15.607834
16260.579,3.67196,15.468946
16270.579,3.67131,15.330043
16280.579,3.67067,15.191148
16290.579,3.67034,15.052278
16300.579,3.6697,14.913368
16310.579,3.66905,14.774472
16320.579,3.66873,14.635587
16330.579,3.6684,14.4967
16340.579,3.66775,14.357808
16350.579,3.66743,14.218932
16360.579,3.66711,14.080045
16370.579,3.66646,13.941162
16380.579,3.66614,13.802281
16390.579,3.66581,13.663378
16400.579,3.66549,13.524486
16410.579,3.66484,13.38556
16420.579,3.66484,13.246669
16430.579,3.66452,13.107811
16440.579,3.6642,12.968924
16450.579,3.66387,12.83006
16460.579,3.66355,12.69118
16470.579,3.6629,12.552299
16480.579,3.6629,12.413377
16490.579,3.66226,12.274487
16500.579,3.66193,12.135607
16510.579,3.66161,11.996713
16520.579,3.66096,11.857811
16530.579,3.66064,11.718911
16540.579,3.65999,11.580032
16550.579,3.65999,11.441137
16560.579,3.65935,11.30225
16570.579,3.6587,11.163367
16580.579,3.65838,11.024459
16590.579,3.65805,10.885567
16600.579,3.6574,10.746678
16610.579,3.65676,10.607796
16620.579,3.65643,10.46892
16630.579,3.65546,10.330061
16640.579,3.65514,10.191166
16650.579,3.65417,10.052283
16660.579,3.65352,9.913423
16670.579,3.65255,9.774538
16680.579,3.65191,9.635648
16690.579,3.65126,9.496748
16700.579,3.65029,9.357877
16710.579,3.64932,9.218988
16720.579,3.64835,9.080078
16730.579,3.64705,8.941219
16740.579,3.64608,8.802306
16750.579,3.64479,8.663422
16760.579,3.64317,8.524516
16770.579,3.64188,8.385652
16780.579,3.64026,8.246756
16790.579,3.63832,8.107838
16800.579,3.6367,7.968968
16810.579,3.63476,7.830063
16820.579,3.6325,7.691186
16830.579,3.63024,7.552296
16840.579,3.62765,7.413412
16850.579,3.62506,7.274551
16860.579,3.62247,7.135668
16870.579,3.61924,6.996774
16880.579,3.616,6.857886
16890.579,3.61277,6.719
16900.579,3.60921,6.580103
16910.579,3.60533,6.441214
16920.579,3.60145,6.30233
16930.579,3.59725,6.163429
16940.579,3.59272,6.024539
16950.579,3.58819,5.885658
16960.579,3.58366,5.746774
16970.579,3.57849,5.60788
